기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적
20221,D,발달상권,3120185,논현역,CS300002,편의점,3344221888,527322,2580302381,763919507,523408565,504955886,511635075,521854751,518448104,420701403,343218104,305100376,651052790,457326515,414758631,876545855,639437721,2137431201,1098860909,23337949,910008219,1089828421,621450470,403821022,187846027,417977,109345,83446,80975,81884,87712,83960,61462,47883,37524,126884,81971,71583,130157,79203,326450,191992,5530,161652,176064,90206,57718,27272,201936,445730,11680,강남구,11680521,논현1동,321182
20221,D,발달상권,3120194,언주역(차병원),CS300002,편의점,3045103080,402723,2360613833,684489247,481105584,443876107,458185153,510966653,466480336,385269838,299219409,244330456,485388873,475748892,438621102,815207680,585806077,1584244026,1153662137,8114647,664530196,932472597,600364130,370369121,162055473,320873,81850,65927,60703,62094,69457,62692,45405,36445,24715,84589,78828,62266,93870,58455,226842,151561,2195,105304,132450,76120,43397,18934,203009,445326,11680,강남구,11680531,논현2동,242446
20221,D,발달상권,3120207,선정릉역,CS300002,편의점,2982420747,417606,2402639546,579781201,488502837,470070337,470824157,497769069,475473146,336676129,243105072,190673407,508866670,540454465,434253895,768935613,539236697,1800284173,1026406922,23568815,622485250,941822526,687844571,383563957,167405972,345419,72187,68942,67734,66875,74158,67710,42486,29701,18956,96435,87225,62111,96074,56805,256534,147943,6200,106859,136706,86041,45636,23030,204022,445778,11680,강남구,11680590,삼성2동,323475
20221,A,골목상권,3110957,언북중학교,CS300002,편의점,845983367,112780,648666312,197317055,124388829,126925734,134837998,136316839,126196912,118597216,78719839,76346950,158708854,153820774,110676872,192016087,154413830,547637134,220397274,1940685,150789770,283812513,182162053,119331624,29997759,88918,23862,17722,17060,17698,18521,17917,14654,9208,7958,26269,25476,16347,21283,15447,75081,30272,370,24028,35741,22197,18612,4406,202797,446468,11680,강남구,11680531,논현2동,94815
20221,D,발달상권,3120200,학동사거리,CS300002,편의점,3094547897,405832,2325443883,769104014,454160857,456125565,450188476,486936404,478032581,450918438,318185576,254608298,500064022,580455301,495118826,767358301,496943149,1801602073,926476093,10885735,657612221,940152994,577888395,350491116,191047706,307721,98111,57132,60160,60216,66886,63327,57414,40697,26438,82946,83799,67168,92747,52734,240616,144785,2689,105842,133406,71924,46653,24887,203460,447067,11680,강남구,11680565,청담동,266597
20221,A,골목상권,3110999,윗방죽마을공원,CS300002,편의점,902224616,116222,630340503,271884113,116012459,127925782,129819874,131541439,125040949,146506467,125377646,98648111,114975254,109715183,108675248,269878701,200332119,638029937,240489626,1012205,146987834,364842397,179142617,136634999,49899510,80128,36094,15177,15891,16326,17044,15690,18407,17687,11731,16934,16009,15030,31781,24737,78746,35821,187,22311,47646,21830,16123,6470,209190,441356,11680,강남구,11680700,세곡동,239797
20221,A,골목상권,3110961,언주역 3번,CS300002,편의점,696522421,90174,526856130,169666291,108662910,102774426,104219086,111434110,99765598,87012833,82653458,64119139,86399843,123356732,109608929,181036053,132001725,382226518,230154964,531835,127538417,263621295,159935796,39025711,21728424,71485,18689,14718,13686,13826,15300,13955,9093,9596,7037,14838,18200,15287,21294,13518,54058,29993,100,18784,33817,21797,5938,3618,203028,445716,11680,강남구,11680531,논현2동,63031
20221,D,발달상권,3120190,강남을지병원,CS300002,편의점,3935305117,543799,3102211752,833093365,621346059,595121031,609613272,668880667,607250723,478718313,354375052,325363684,726372227,715148892,549760508,933662625,684997181,2213911604,1315407257,13584307,827662047,1216284327,780019810,488281735,203486639,442863,100936,87843,85703,86729,96605,85983,57059,43877,38891,132486,117544,76934,110879,67065,311745,200063,2478,137416,173127,104299,67969,26515,202498,446725,11680,강남구,11680545,압구정동,295195
20221,D,발달상권,3120205,매봉역,CS300002,편의점,802214526,122194,643972475,158242051,126978462,126322933,124759929,135485810,130425341,90646875,67595176,62920896,171971095,139220023,107389972,200856530,119856010,505456574,273553396,6650026,140618597,231662052,182883425,111132283,106063585,98800,23394,19626,19281,19898,20571,19424,13396,9998,5027,31705,25697,17438,27678,14649,77125,43296,1834,28673,38052,26643,16038,9183,203882,442769,11680,강남구,11680656,도곡2동,122443
20221,D,발달상권,3120208,청담사거리(청담동명품거리),CS300002,편의점,3124698764,420200,2385175871,739522893,416794863,459878845,462098998,507859195,538543970,404004513,335518380,240963827,593478537,588843199,494891899,722333210,484188092,1786111988,1022017489,9694672,645259091,852752873,657256902,431488336,211677600,322799,97401,60346,62637,64350,68655,66811,53156,44245,22895,97024,95059,68280,87434,49508,244341,155850,1973,107717,125237,83161,52989,29114,204217,447261,11680,강남구,11680565,청담동,331337
20221,D,발달상권,3120214,영동대교남단교차로,CS300002,편의점,1300804826,161168,915106292,385698534,180341105,178500297,171607479,184737379,199920032,219842987,165855547,108189708,158727938,170532121,168952292,393558585,300844182,791884710,434945570,6549386,242913010,483804720,256385770,175191572,61985822,118719,42449,23914,23016,22436,25206,24147,23857,18592,10357,28357,28196,23184,43004,28070,95261,60307,1205,33792,57740,33374,21339,8117,204844,447175,11680,강남구,11680565,청담동,89136
20221,A,골목상권,3110981,국악고교사거리,CS300002,편의점,887320439,119142,677987264,209333175,139890582,143215421,133351103,133584836,127945322,112907415,96425760,87036449,130830132,113899853,120805193,246306544,188442268,628161795,233201370,9807804,115888745,211192377,234760121,207944047,81770072,91573,27569,18403,19355,18352,18613,16850,14847,12722,10761,20424,17386,18191,30536,21844,81823,34773,2683,19141,30032,29835,25353,9553,204328,441797,11680,강남구,11680690,개포4동,67409
20221,D,발달상권,3120217,대치사거리,CS300002,편의점,1070269307,195037,748949014,321320293,146495909,150583405,146765279,154881525,150222896,158162311,163157982,79226960,160418457,168221437,166381215,270374577,225646661,714894603,355374704,65122825,154438242,295308726,301840441,205688898,47870175,137184,57853,26501,26556,27098,29162,27867,30150,27703,9729,29104,35157,32280,51281,37486,126187,68850,22222,27048,47334,54532,36526,7375,205165,444843,11680,강남구,11680630,대치4동,159411
20221,D,발달상권,3120219,은마아파트,CS300002,편의점,4254268518,960757,2907665862,1346602656,589574745,536872891,546216758,615525537,619475931,726317253,620285403,177034920,579694318,686578323,661760814,1268883584,880316559,2661079462,1529234350,376045150,612877185,577153738,1327804005,1029515769,266917963,644831,315926,131219,121446,123932,136539,131695,166861,149065,31033,134575,173855,152717,307733,160844,542366,411069,144583,137608,105149,291754,229223,45118,205359,444378,11680,강남구,11680630,대치4동,149660
20221,D,발달상권,3120202,압구정로데오역(압구정로데오),CS300002,편의점,1291532366,193113,937568240,353964126,187421324,168472660,181116608,187891324,212666324,228971835,124992291,65303537,192512531,253509660,222961561,335086150,222158927,717381562,482872055,9455770,334213175,424059917,190885354,114630296,127009105,142154,50959,25373,26523,28278,29984,31996,31490,19469,8775,35198,39763,34342,47481,27554,104199,82559,2257,61951,65780,25903,18664,12210,203548,447476,11680,강남구,11680545,압구정동,265702
20221,D,발달상권,3120213,삼성중앙역,CS300002,편의점,2442840220,317848,1886249790,556590430,372064604,368371763,367933032,398114944,379765447,304096013,252494417,209258358,348104189,364844914,340490405,655866318,524276036,1566292005,659698775,14845159,446116975,778723380,553396818,308829940,124078513,250491,67357,50975,48996,49022,52816,48682,36145,31212,21061,57112,57331,45946,80919,55479,206707,93685,2346,70501,104139,68373,39071,15960,204752,445788,11680,강남구,11680590,삼성2동,228925
20221,D,발달상권,3120196,서울세관,CS300002,편의점,1640389497,202168,1347931361,292458136,271020419,277597063,259058765,280595440,259659674,167776033,124682103,129355515,295051045,287158425,317826142,368109383,242888987,1055106818,467395253,4291559,275258389,529960779,317725789,176456516,218809039,169577,32591,33941,32736,33339,37015,32546,18110,14481,12658,51346,46026,27388,40407,24343,126206,67778,1068,44568,76943,38478,19179,13750,203125,446206,11680,강남구,11680531,논현2동,185480
20221,D,발달상권,3120203,강남구청역,CS300002,편의점,2932801328,417192,2296889384,635911944,458887534,446181317,459689103,465660662,466470768,346874943,289037001,195482722,507893937,493889252,410342982,778361902,546830533,1813615715,914690094,31943598,557311205,871562409,661117888,435697953,170672755,334339,82853,67475,64849,66262,70191,65562,45579,37274,20347,89770,84082,63638,99617,59738,254686,146804,8316,102060,129545,81060,57481,23021,203597,446308,11680,강남구,11680531,논현2동,173252
20221,D,발달상권,3120188,압구정역,CS300002,편의점,1831016483,315291,1398699439,432317044,280324407,269736288,273785798,274888450,299964496,256352061,175964983,72950884,374836758,319562778,304645645,482385600,276634818,1035999622,707141534,36832773,414308951,524435484,383326860,266295086,117942007,245770,69521,49252,47371,47908,50014,51225,42244,27277,9405,74424,62000,55710,77196,36556,171995,136312,11482,84858,91384,61265,42222,17094,202482,447331,11680,강남구,11680510,신사동,251746
20221,A,골목상권,3110965,언주역 6번,CS300002,편의점,541227914,62361,398144866,143083048,83203437,81089868,73442151,85136244,75273166,78218314,64864734,55869684,66746645,65602450,80038755,153695489,119274891,325057161,189347957,917431,104025023,171963436,130139274,86593576,20766376,47775,14586,9769,9497,9375,10110,9024,7525,7061,5531,9722,9888,9604,15903,11713,42253,18890,243,12863,19989,14348,10526,3175,203346,445193,11680,강남구,11680640,역삼1동,65108
20221,D,발달상권,3120218,코엑스,CS300002,편의점,818328529,159503,655607003,162721526,140757583,121691913,122780786,139782511,130594210,87915178,74806348,360625,192846521,187770988,169228816,220922171,47199408,453867680,288429746,5126217,174899892,249992245,178675728,104345133,29258209,128252,31251,26624,24128,24550,28235,24715,16702,14549,88,41918,39309,34160,37326,6702,86687,65762,1436,41710,53521,32342,17860,5579,205226,445856,11680,강남구,11680580,삼성1동,145396
20221,D,발달상권,3120221,봉은사역,CS300002,편의점,902858824,133429,715750999,187107825,149726532,138428226,141085068,147290550,139220623,100388301,86719524,46125009,227778000,172267097,130241399,191703499,134743820,595873641,222202775,7466605,144948841,202851805,221825579,152757100,88226488,107848,25581,22407,20839,21630,22530,20442,13742,11839,5907,37309,27931,21174,25804,15304,91040,36592,1766,27146,32540,29843,23921,12415,205516,446111,11680,강남구,11680580,삼성1동,124926
20221,A,골목상권,3110976,언북초등학교,CS300002,편의점,304220595,40702,223620099,80600496,44972954,39793017,46830864,46101653,45921611,42556174,38044322,12348028,45803516,46330538,45668470,85882737,68187306,185307643,105573670,3172621,58682150,117782098,55517585,39927199,15799660,30674,10028,5783,5891,6273,6559,6168,5328,4700,1518,9274,6661,5698,9875,7676,25489,14377,1133,9528,14390,7332,5206,2278,204115,446924,11680,강남구,11680565,청담동,55724
20221,A,골목상권,3110977,논현로18길,CS300002,편의점,371199306,44242,282554824,88644482,58862844,58266126,52601924,54557203,58266727,50427893,38216589,26132588,55503699,55274460,48944707,106804505,78539347,233143025,106758559,3687512,53609704,114545232,73552303,58674094,35832741,34536,9706,7357,6602,6436,7111,7030,5285,4421,2434,7716,7761,6226,12347,7758,28377,13616,938,8065,13827,8341,7319,3499,204154,442000,11680,강남구,11680690,개포4동,17288
20221,D,발달상권,3120201,도곡1동,CS300002,편의점,1327038022,188740,988934450,338103572,193953662,194071381,192173430,210667064,198068913,183446047,154657525,126372921,221459885,202105466,176617394,333353587,267128769,802634556,448433324,9430993,251328806,430608487,343152176,155039381,61508041,146335,42405,28441,28691,28971,31352,28880,23058,19347,12688,40683,35587,27180,43826,28776,120873,61490,2252,43137,61780,42486,24573,8135,203531,443680,11680,강남구,11680640,역삼1동,169293
20221,D,발달상권,3120222,삼성역,CS300002,편의점,3389544087,554895,2796683949,592860138,577959142,541042395,535491395,584582201,557608816,343200977,249659161,104919003,826855035,705511484,524526278,772645454,455086833,2109753573,997306393,17428605,625562837,1101235107,773776297,427175983,161881130,470445,84450,98447,89914,91006,100763,90315,46983,37467,13217,170625,128069,88930,107207,46847,350677,183905,4245,123771,197713,119419,65319,24108,205584,445468,11680,강남구,11680610,대치2동,356337
20221,D,발달상권,3120187,신논현역,CS300002,편의점,6120690667,964005,4593049025,1527641642,913280624,890337517,867812808,961013449,960604627,886999621,640642021,485033170,1143969341,806497596,808732034,1574247807,1302210719,3744903797,2203291909,51775228,1825480481,2084852930,1120773864,617043747,248269456,742769,221236,146566,143814,144026,156468,151895,128441,92795,57803,235970,150869,139269,228319,151775,569500,380365,11510,324665,325551,156454,93326,38364,202235,445062,11680,강남구,11680521,논현1동,382392
20221,D,발달상권,3120186,가로수길,CS300002,편의점,1439130496,236075,1079948846,359181650,214336409,204818566,202613717,231029165,227150989,208494661,150686989,73803829,242202193,235680072,232450376,378724666,276269360,767635189,524024550,22936789,423804162,451017287,224232072,125056524,44612906,179134,56941,35944,34095,34263,38300,36532,32125,24816,8485,48327,45431,42960,58525,32347,127487,96739,7222,83673,71608,32973,21572,7177,201996,446810,11680,강남구,11680510,신사동,256688
20221,A,골목상권,3110949,한남IC,CS300002,편의점,810683550,108354,606709356,203974194,124310426,109510441,122609839,127813911,122464739,119277070,84697124,63767935,113827013,132537457,126776731,207704779,166069635,530366478,216524095,6644933,142129507,256640817,162258772,119345902,59870642,84027,24327,16827,15970,16571,18359,16300,13881,10446,6181,20879,22137,18102,24742,16313,72552,29192,1173,22280,34530,21022,15626,7113,201701,446824,11680,강남구,11680510,신사동,62126
20221,D,발달상권,3120216,경기고교사거리(경기고교앞사거리),CS300002,편의점,606695045,88434,466686080,140008965,95687916,86698987,86779483,98391332,99128362,82659350,57349615,32157633,135600182,115235071,91525993,148356688,83819478,374182187,189446530,7622114,104844625,174157652,135492982,98064308,43447037,69423,19011,13871,13480,13527,14483,14062,11096,7915,3522,25413,19924,13532,17643,8400,54074,31536,1975,20717,25427,18451,13707,5334,205005,446809,11680,강남구,11680565,청담동,71695
20221,D,발달상권,3120192,뱅뱅사거리,CS300002,편의점,7286668786,1038402,5614494745,1672174041,1109081889,1074655095,1087565513,1154854273,1188337975,918921953,753252088,554837096,1134943072,1056575045,984106021,2031218898,1524988654,4382832914,2470188757,64113822,1477698228,2440922103,1505939063,948031307,416317153,824781,213621,165548,160628,161680,172608,164317,114355,99266,63568,207186,186608,151669,258465,170906,633735,367235,19219,243092,338697,210458,136357,53141,202785,443423,11680,강남구,11680640,역삼1동,317600
20221,D,발달상권,3120193,도산공원교차로,CS300002,편의점,1470190967,198760,1246718879,223472088,257469367,242875651,243148108,257754756,245470997,124758108,98713980,74067947,307394182,336473435,276712073,309495532,166047798,855009586,399806354,2954545,214863015,481615643,321031364,151890691,82460686,170645,28115,34973,33277,32869,36995,32531,15870,12245,8014,49908,51088,34262,38810,16678,121779,61995,806,38645,72227,41084,20565,10447,202968,446898,11680,강남구,11680545,압구정동,185023
20221,D,발달상권,3120224,수서역,CS300002,편의점,3367027245,755308,2607890867,759136378,538818268,500889631,488527771,523217024,556438173,429675723,329460655,165486961,869983258,556314311,488355217,835028401,451859097,2265450885,976444382,25070571,576111314,987276197,843925003,524454417,285057763,573501,181807,113306,106795,106792,120098,126510,104263,77544,26098,227280,130418,115818,179833,75861,478782,259809,7649,160444,235177,167534,107699,60089,209112,443153,11680,강남구,11680750,수서동,60183
20221,D,발달상권,3120223,휘문고교사거리,CS300002,편의점,162393817,33263,142610445,19783372,30749848,29852503,25068185,30545517,26394392,11365904,8417468,1878163,36836346,47176758,32352243,30759351,13390956,110478158,50028549,4609603,23400358,63177502,43711442,21732238,3875565,29565,3698,6610,6140,5385,6269,5161,1991,1707,246,8336,9482,6920,6244,2035,22256,10859,1555,5054,13424,8475,3838,767,205806,444988,11680,강남구,11680610,대치2동,133570
20221,D,발달상권,3120211,도성초등학교,CS300002,편의점,800731886,154173,565531496,235200390,103430319,112034762,112402326,117666627,119997462,122482086,112718304,56210399,109381196,129151967,110382955,216363177,179242192,450848851,338186287,45258272,157582543,129678289,250048765,165043356,41423915,110829,43344,20933,21546,22828,23125,22397,23274,20070,7685,23432,29835,22916,43247,27058,79113,74363,15731,32348,21777,44071,32326,7224,204639,444576,11680,강남구,11680630,대치4동,72437
20221,A,골목상권,3110989,대치동아우편취급국,CS300002,편의점,480950946,64728,356481142,124469804,73377959,67969396,67264126,71925965,75943696,59642859,64826945,50313963,59393653,53622302,66838118,139831131,110951779,291984671,175110668,6820775,88958554,137038460,134000406,72365662,27911482,48816,15912,9629,9781,9587,10311,9508,8038,7874,5634,10568,9273,9572,16611,13070,41258,22271,2055,12631,16799,17662,11744,2639,204819,444825,11680,강남구,11680630,대치4동,40587
20221,D,발달상권,3120215,포스코사거리,CS300002,편의점,4812317754,757776,4071708264,740609490,841471704,748994116,782891366,876903445,821447633,413857203,326752287,239093857,1076186897,905145555,777025122,1086994825,727871498,3058032325,1259823549,30908836,803572489,1476723627,1171939367,617084235,217627322,652602,105174,131900,125170,126515,141348,127669,57657,47517,30020,208484,166664,123071,150364,79173,508264,220003,5594,154863,260339,179584,95248,32636,204975,445263,11680,강남구,11680590,삼성2동,318626
20221,R,전통시장,3130310,강남개포시장,CS300002,편의점,639511257,100398,455986010,183525247,92032152,81156478,96599706,85996229,100201445,90869106,92656141,37581817,89229872,82303870,84619749,207424151,138351798,417150731,222360526,20383650,109584101,124118923,157489355,148023857,79911371,71753,28645,14993,13710,14556,13946,14548,15217,13428,5007,15583,14876,14800,29091,21041,64472,35926,6373,22155,18844,19547,21594,11885,205978,443274,11680,강남구,11680670,개포2동,25364
20221,D,발달상권,3120199,경복아파트교차로,CS300002,편의점,3576820069,440743,2811000763,765819306,573382803,558621657,518834598,605400113,554761592,386695000,379124306,393416295,583676823,544556243,437331931,880987666,736851111,2186591155,1273947828,11204402,714470050,1283445796,993255616,309248420,148914699,357513,83230,74799,68066,68868,77549,68231,43356,39874,37505,89066,89337,59308,95242,70285,292797,141655,1548,107512,160673,110241,37525,16948,203449,445392,11680,강남구,11680640,역삼1동,112742
20221,D,발달상권,3120204,르네상스호텔사거리,CS300002,편의점,2074902300,278951,1646270698,428631602,341932392,298724516,322623650,334065060,348925080,243870138,184761464,236955145,304130717,322723300,255162630,515976717,439953791,1326564983,658047772,14583815,484746580,567063121,510990101,301780072,105449069,227506,51445,47205,43220,44995,48145,43941,28273,23172,26550,56005,53539,41149,59489,42219,180189,91464,2653,70903,82634,67005,36186,12272,203786,444848,11680,강남구,11680640,역삼1동,160960
20221,A,골목상권,3110997,대청초등학교,CS300002,편의점,2679189484,389704,1898881920,780307564,376075954,372475047,371807944,378351277,400171698,406792492,373515072,275517062,361498044,308059684,306062545,795780579,632271570,1833229548,845959936,41963758,586129491,711959115,611241045,494589576,233306499,280306,109398,56307,57183,56091,55989,54736,55782,53616,35634,60750,50422,48095,111555,83248,261182,128522,9028,97167,100007,80580,70537,32385,207481,443569,11680,강남구,11680730,일원1동,236964
20221,A,골목상권,3110984,포이초등학교(개포목련어린이공원),CS300002,편의점,851348973,110884,632860622,218488351,127084344,127822091,126208476,126231941,125513770,113508284,104980067,99061470,119585667,121668126,117177658,233701606,160154446,622698990,223052559,7684358,144460426,279431461,184394218,156238674,73542412,84460,26424,17178,16687,16812,17466,16317,13474,12950,11082,18224,17607,15856,29178,18937,78504,32036,1977,22028,34364,22317,19375,10478,204610,441598,11680,강남구,11680690,개포4동,137098
20221,U,관광특구,3001496,강남 마이스 관광특구,CS300002,편의점,1927664735,327506,1498506631,429158104,307658958,294317537,282442442,307226708,306860986,249020421,180137683,44464237,399856124,375270032,357062559,517967289,233044494,1000729996,687252556,10869999,365057479,580784956,409444616,239697160,82128338,260286,67220,53443,49727,50089,56157,50870,37084,30136,5039,88035,71256,65969,74282,22925,176285,133337,2549,77827,109932,68214,38145,12952,205282,445736,11680,강남구,11680580,삼성1동,237892
20221,D,발달상권,3120212,한티역,CS300002,편의점,1421937470,301301,1010944330,410993140,202455590,187429169,201574365,202100072,217385134,228577369,182415771,62438121,235960481,210714380,216312985,418805631,277705872,838273200,526079510,132864999,233154002,232568394,407060942,285694303,73010072,214667,86634,42118,41727,42641,44300,43881,47598,39036,9197,51005,51880,50106,89592,49521,164542,131082,44067,52103,42518,84298,60633,12005,204740,444220,11680,강남구,11680630,대치4동,112734
20221,D,발달상권,3120191,학동역,CS300002,편의점,3672710797,524151,2971447681,701263116,593228625,569383940,579058474,635093069,594683573,375084600,326178516,336354111,845747592,569358183,495476257,822972127,602802527,2226961934,1175705098,16834241,804030742,1171211194,823455111,404679955,182455794,436641,87510,87320,85110,85435,92733,86043,47988,39522,35300,151300,96783,74158,102142,64468,317507,186317,4121,135771,176942,103871,58382,24737,202659,446009,11680,강남구,11680521,논현1동,366287
