기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20221,D,발달상권,3120185,논현역,CS300002,편의점,3344221888,527322,2580302381,763919507,523408565,504955886,511635075,521854751,518448104,420701403,343218104,305100376,651052790,457326515,414758631,876545855,639437721,2137431201,1098860909,23337949,910008219,1089828421,621450470,403821022,187846027,417977,109345,83446,80975,81884,87712,83960,61462,47883,37524,126884,81971,71583,130157,79203,326450,191992,5530,161652,176064,90206,57718,27272,201936,445730,11680,강남구,11680521,논현1동,321182,2520855,1277572,1243283,147454,529120,640701,496156,337620,369803,450824,512609,403271,411902,479637,262613,379871,377304,379701,395752,397150,313461,277618,3722,1809,1913,240,702,857,630,551,742,117,333,425,316,291,327,123,369,432,314,260,415,2397,0,2397,3218459.0,7.0,3814667562.0,872083428.0,484609839.0,304342889.0,427378253.0,646087312.0,171133682.0,119586422.0,624440537.0,165005200.0,12723,7377,5346,29,2723,4108,3218,1875,770,10,1037,2421,2225,1194,490,19,1686,1687,993,681,280
20221,D,발달상권,3120194,언주역(차병원),CS300002,편의점,3045103080,402723,2360613833,684489247,481105584,443876107,458185153,510966653,466480336,385269838,299219409,244330456,485388873,475748892,438621102,815207680,585806077,1584244026,1153662137,8114647,664530196,932472597,600364130,370369121,162055473,320873,81850,65927,60703,62094,69457,62692,45405,36445,24715,84589,78828,62266,93870,58455,226842,151561,2195,105304,132450,76120,43397,18934,203009,445326,11680,강남구,11680531,논현2동,242446,1924932,985538,939394,85842,427412,565859,386289,224925,234606,328216,413676,328938,328459,341404,184240,293097,291239,293585,308298,303127,228936,206651,2599,1282,1317,142,483,760,435,329,450,76,222,375,218,175,216,66,261,385,217,154,234,1764,0,1764,3258234.0,7.0,1889746203.0,441748522.0,239342987.0,162175137.0,209822265.0,331128886.0,85920530.0,59855903.0,278065250.0,81686723.0,12628,8724,3904,37,2790,4202,2802,1923,874,14,1366,2863,2239,1588,654,23,1424,1339,563,335,220
20221,D,발달상권,3120207,선정릉역,CS300002,편의점,2982420747,417606,2402639546,579781201,488502837,470070337,470824157,497769069,475473146,336676129,243105072,190673407,508866670,540454465,434253895,768935613,539236697,1800284173,1026406922,23568815,622485250,941822526,687844571,383563957,167405972,345419,72187,68942,67734,66875,74158,67710,42486,29701,18956,96435,87225,62111,96074,56805,256534,147943,6200,106859,136706,86041,45636,23030,204022,445778,11680,강남구,11680590,삼성2동,323475,2287769,1136181,1151589,296007,397152,530328,480222,280489,303571,476243,484877,345293,347798,390660,242897,340972,339736,342701,353081,348482,287929,274870,6714,2997,3717,804,1098,1452,1288,894,1178,423,464,615,576,418,501,381,634,837,712,476,677,3816,0,3816,3669932.0,7.0,4195722577.0,972042077.0,520457583.0,329805664.0,458997625.0,728957375.0,170883058.0,128518628.0,705868339.0,180192228.0,11920,7343,4577,32,2669,4154,2699,1509,857,16,1106,2428,1922,1135,736,16,1563,1726,777,374,121
20221,A,골목상권,3110957,언북중학교,CS300002,편의점,845983367,112780,648666312,197317055,124388829,126925734,134837998,136316839,126196912,118597216,78719839,76346950,158708854,153820774,110676872,192016087,154413830,547637134,220397274,1940685,150789770,283812513,182162053,119331624,29997759,88918,23862,17722,17060,17698,18521,17917,14654,9208,7958,26269,25476,16347,21283,15447,75081,30272,370,24028,35741,22197,18612,4406,202797,446468,11680,강남구,11680531,논현2동,94815,844555,440377,404177,60484,164213,235940,179601,91870,112447,163524,182450,143311,138619,136459,80190,130531,129316,130375,138301,135520,94014,86495,1761,797,964,137,300,454,311,214,345,77,127,195,167,98,133,60,173,259,144,116,212,1088,0,1088,3496418.0,7.0,1591782820.0,378039666.0,199470929.0,125805678.0,178795055.0,276443145.0,64429371.0,49447012.0,249424334.0,69927630.0,1251,831,420,1,262,379,317,147,145,1,146,241,215,109,119,0,116,138,102,38,26
20221,D,발달상권,3120200,학동사거리,CS300002,편의점,3094547897,405832,2325443883,769104014,454160857,456125565,450188476,486936404,478032581,450918438,318185576,254608298,500064022,580455301,495118826,767358301,496943149,1801602073,926476093,10885735,657612221,940152994,577888395,350491116,191047706,307721,98111,57132,60160,60216,66886,63327,57414,40697,26438,82946,83799,67168,92747,52734,240616,144785,2689,105842,133406,71924,46653,24887,203460,447067,11680,강남구,11680565,청담동,266597,1298108,607961,690148,87372,309839,355863,253228,148645,143159,128596,230043,264400,274303,296397,104368,179476,191785,195456,208216,211285,178168,133720,976,427,549,88,166,208,160,125,229,48,59,79,77,62,102,40,107,129,83,63,127,565,0,565,3402858.0,7.0,1006064987.0,234042223.0,125570404.0,82627365.0,114846472.0,179655969.0,42601111.0,30605275.0,152498700.0,43617468.0,9363,3808,5555,26,2868,3075,1848,1005,541,9,654,1122,937,687,399,17,2214,1953,911,318,142
20221,A,골목상권,3110999,윗방죽마을공원,CS300002,편의점,902224616,116222,630340503,271884113,116012459,127925782,129819874,131541439,125040949,146506467,125377646,98648111,114975254,109715183,108675248,269878701,200332119,638029937,240489626,1012205,146987834,364842397,179142617,136634999,49899510,80128,36094,15177,15891,16326,17044,15690,18407,17687,11731,16934,16009,15030,31781,24737,78746,35821,187,22311,47646,21830,16123,6470,209190,441356,11680,강남구,11680700,세곡동,239797,154658,72665,81993,23565,24791,38279,28362,17019,22644,43215,31491,16840,16627,24602,21883,21947,22049,22148,22261,22389,22200,21664,3223,1492,1731,168,715,1000,472,304,564,95,257,458,252,181,249,73,458,542,220,123,315,2418,0,2418,3614875.0,7.0,798255194.0,201956825.0,98578567.0,62035024.0,109328528.0,147224773.0,28630487.0,23125167.0,90524624.0,36851199.0,268,130,138,2,19,43,44,83,77,1,12,27,27,39,24,1,7,16,17,44,53
20221,A,골목상권,3110961,언주역 3번,CS300002,편의점,696522421,90174,526856130,169666291,108662910,102774426,104219086,111434110,99765598,87012833,82653458,64119139,86399843,123356732,109608929,181036053,132001725,382226518,230154964,531835,127538417,263621295,159935796,39025711,21728424,71485,18689,14718,13686,13826,15300,13955,9093,9596,7037,14838,18200,15287,21294,13518,54058,29993,100,18784,33817,21797,5938,3618,203028,445716,11680,강남구,11680531,논현2동,63031,725302,372644,352659,70035,137048,182736,144856,90301,100326,146462,155183,115583,114151,120123,73803,110898,108899,111019,115794,113057,85466,80169,2120,980,1140,176,422,563,364,255,340,78,180,263,182,124,153,98,242,300,182,131,187,1314,0,1314,3318129.0,7.0,1444220522.0,345201563.0,182136257.0,119607901.0,162374754.0,253744669.0,59004967.0,46363053.0,211519569.0,64267789.0,962,673,289,5,172,286,248,140,111,3,97,184,187,112,90,2,75,102,61,28,21
20221,D,발달상권,3120190,강남을지병원,CS300002,편의점,3935305117,543799,3102211752,833093365,621346059,595121031,609613272,668880667,607250723,478718313,354375052,325363684,726372227,715148892,549760508,933662625,684997181,2213911604,1315407257,13584307,827662047,1216284327,780019810,488281735,203486639,442863,100936,87843,85703,86729,96605,85983,57059,43877,38891,132486,117544,76934,110879,67065,311745,200063,2478,137416,173127,104299,67969,26515,202498,446725,11680,강남구,11680545,압구정동,295195,1626848,808887,817962,130184,340083,426747,329397,191469,208966,263225,326303,286156,294945,305019,151199,244888,244466,246323,262060,263169,196628,169313,2366,1063,1303,254,457,495,423,288,449,129,182,233,182,142,195,125,275,262,241,146,254,1367,0,1367,3360098.0,7.0,1867827087.0,433101939.0,233668445.0,152366048.0,208092323.0,328309517.0,80296880.0,57019975.0,294713159.0,80258801.0,11725,6199,5526,44,3417,3232,2506,1512,1014,14,1228,1650,1567,988,752,30,2189,1582,939,524,262
20221,D,발달상권,3120205,매봉역,CS300002,편의점,802214526,122194,643972475,158242051,126978462,126322933,124759929,135485810,130425341,90646875,67595176,62920896,171971095,139220023,107389972,200856530,119856010,505456574,273553396,6650026,140618597,231662052,182883425,111132283,106063585,98800,23394,19626,19281,19898,20571,19424,13396,9998,5027,31705,25697,17438,27678,14649,77125,43296,1834,28673,38052,26643,16038,9183,203882,442769,11680,강남구,11680656,도곡2동,122443,567474,285277,282197,51805,92590,111291,109481,89715,112593,89047,117753,99923,99795,107045,53911,86976,86878,86711,91771,90153,64900,60085,1116,543,573,131,209,180,176,172,248,78,88,83,96,73,125,53,121,97,80,99,123,592,0,592,3506683.0,7.0,1848282139.0,422391998.0,231561686.0,140726552.0,207169501.0,326487297.0,78149715.0,53795965.0,308799702.0,79199723.0,13950,9370,4580,95,2838,4203,3126,1781,1907,44,1450,2959,2521,1302,1094,51,1388,1244,605,479,813
20221,D,발달상권,3120208,청담사거리(청담동명품거리),CS300002,편의점,3124698764,420200,2385175871,739522893,416794863,459878845,462098998,507859195,538543970,404004513,335518380,240963827,593478537,588843199,494891899,722333210,484188092,1786111988,1022017489,9694672,645259091,852752873,657256902,431488336,211677600,322799,97401,60346,62637,64350,68655,66811,53156,44245,22895,97024,95059,68280,87434,49508,244341,155850,1973,107717,125237,83161,52989,29114,204217,447261,11680,강남구,11680565,청담동,331337,1367201,620322,746879,127317,243198,314816,271502,188710,221656,235067,275255,232532,234504,256036,133808,190940,199158,201682,209586,213547,189739,162548,3501,1584,1917,373,504,586,624,510,904,184,208,269,296,228,399,189,296,317,328,282,505,1999,0,1999,4085253.0,8.0,1972996589.0,440573103.0,249484368.0,159234637.0,215124166.0,348672929.0,93682617.0,57786228.0,325496524.0,82942017.0,11437,5280,6157,43,3488,4035,2275,1044,552,17,1116,1816,1308,628,395,26,2372,2219,967,416,157
20221,D,발달상권,3120214,영동대교남단교차로,CS300002,편의점,1300804826,161168,915106292,385698534,180341105,178500297,171607479,184737379,199920032,219842987,165855547,108189708,158727938,170532121,168952292,393558585,300844182,791884710,434945570,6549386,242913010,483804720,256385770,175191572,61985822,118719,42449,23914,23016,22436,25206,24147,23857,18592,10357,28357,28196,23184,43004,28070,95261,60307,1205,33792,57740,33374,21339,8117,204844,447175,11680,강남구,11680565,청담동,89136,324203,161423,162781,32636,46822,73192,66595,49259,55701,49703,68217,56170,56372,61567,32174,48211,48410,48588,51084,51101,41297,35509,706,345,361,125,96,123,130,115,117,66,44,53,66,57,59,59,52,70,64,58,58,303,0,303,5402804.0,9.0,736186796.0,150146812.0,94546067.0,60537799.0,76912269.0,130947047.0,42453708.0,19835545.0,132215438.0,28592111.0,3984,2897,1087,7,489,1172,1107,929,280,3,271,811,865,753,194,4,218,361,242,176,86
20221,A,골목상권,3110981,국악고교사거리,CS300002,편의점,887320439,119142,677987264,209333175,139890582,143215421,133351103,133584836,127945322,112907415,96425760,87036449,130830132,113899853,120805193,246306544,188442268,628161795,233201370,9807804,115888745,211192377,234760121,207944047,81770072,91573,27569,18403,19355,18352,18613,16850,14847,12722,10761,20424,17386,18191,30536,21844,81823,34773,2683,19141,30032,29835,25353,9553,204328,441797,11680,강남구,11680690,개포4동,67409,415104,210919,204184,59878,57373,75804,79935,69872,72243,99408,82171,52848,53549,73362,53767,59148,59811,60635,60976,61286,57571,55678,2118,1057,1061,303,333,373,344,391,374,162,185,183,168,189,170,141,148,190,176,202,204,907,0,907,3081543.0,7.0,895864770.0,207906896.0,111935813.0,67391314.0,103996115.0,160762137.0,37681337.0,25976200.0,141540050.0,38674908.0,361,216,145,2,57,77,110,81,34,0,27,36,72,56,25,2,30,41,38,25,9
